idioms,lem_idioms
бежать высунув язык,бежать\W+высовывать\W+язык
без сучка без задоринки,без\W+сучка\W+без\W+задоринка
бросаться в глаза,бросаться\W+в\W+глаз
быть на голову выше,быть\W+на\W+голова\W+выше
быть на дружеской ноге,быть\W+на\W+дружеский\W+нога
валить с больной головы на здоровую,валить\W+с\W+больной\W+голова\W+на\W+здоровый
валиться из рук,валиться\W+из\W+рука
вбивать в голову,вбивать\W+в\W+голова
вертится у на языке,вертеться\W+у\W+на\W+язык
вешать нос,вешать\W+нос
взять голыми руками,взять\W+голый\W+рука
взять себя в руки,взять\W+себя\W+в\W+рука
видно как на ладони,видно\W+как\W+на\W+ладонь
висеть на волоске,висеть\W+на\W+волосок
влюбиться по уши,влюбляться\W+по\W+ухо
водить за нос,водить\W+за\W+нос
волосы становятся дыбом,волос\W+становиться\W+дыбом
вставать с левой ноги,вставать\W+с\W+лева\W+нога
в ус не дуть,в\W+ус\W+не\W+дуть
выбивать у почву из-под ног,выбивать\W+у\W+почва\W+изпод\W+нога
выбросить из головы,выбрасывать\W+из\W+голова
выйти сухим из воды,выходить\W+сухой\W+из\W+вода
вынести на своих плечах,вынести\W+на\W+свой\W+плечо
выносить сор из избы,выносить\W+сор\W+из\W+изба
вырастать в чьих-либо глазах,вырастать\W+в\W+чейлибо\W+глаз
высосать из пальца,высасывать\W+из\W+палец
гадать на кофейной гуще,гадать\W+на\W+кофейный\W+густой
гладить против шерсти,гладить\W+против\W+шерсть
глаза разбегаются,глаз\W+разбегаться
глаза разгорелись,глаз\W+разгораться
говорить под руку,говорить\W+под\W+рука
голова идет кругом,голова\W+идти\W+кругом
горит в руках,гореть\W+в\W+рука
гусей дразнить,гусь\W+дразнить
делать с закрытыми глазами,делать\W+с\W+закрывать\W+глаз
делать спустя рукава,делать\W+спустя\W+рукав
держать в чёрном теле,держать\W+в\W+черный\W+тело
держать нос по ветру,держать\W+нос\W+по\W+ветер
держать себя в руках,держать\W+себя\W+в\W+рука
держать ухо востро,держать\W+ухо\W+востро
держать язык за зубами,держать\W+язык\W+за\W+зуб
длинный язык,длинный\W+язык
доходить до чьих-либо ушей,доходить\W+до\W+чейлибо\W+ухо
душа ушла в пятки,душа\W+уходить\W+в\W+пятка
дырявая голова,дырявый\W+голова
жить на широкую ногу,жить\W+на\W+широкий\W+нога
задать перцу,задавать\W+перец
задеть за живое,задеть\W+за\W+живой
задирать нос,задирать\W+нос
закрывать на глаза,закрывать\W+на\W+глаз
зарубить на носу,зарубать\W+на\W+нос
знать как свои пять пальцев,знать\W+как\W+свой\W+пять\W+палец
золотые руки,золотой\W+рука
идти куда глаза глядят,идти\W+куда\W+глаз\W+глядеть
идти против течения,идти\W+против\W+течение
иметь голову на плечах,иметь\W+голова\W+на\W+плечо
искры из глаз посыпались,искра\W+из\W+глаз\W+посыпаться
и ухом не ведет,и\W+ухо\W+не\W+вести
как без рук,как\W+без\W+рука
как в воду опущенный,как\W+в\W+вода\W+опускать
как гора с плеч свалилась,как\W+гора\W+с\W+плечо\W+сваливаться
как корова языком слизала,как\W+корова\W+язык\W+слизывать
как рукой сняло,как\W+рука\W+снимать
как с гуся вода,как\W+с\W+гусь\W+вода
как снег на голову,как\W+снег\W+на\W+голова
клевать носом,клевать\W+нос
кусать себе локти,кусать\W+себя\W+локоть
легкая рука,легкий\W+рука
лезть из кожи вон,лезть\W+из\W+кожа\W+вон
ломать голову над чем-либо,ломать\W+голова\W+над\W+чтолибо
мастер на все руки,мастер\W+на\W+все\W+рука
махнуть рукой,махнуть\W+рука
медведь на ухо наступил,медведь\W+на\W+ухо\W+наступать
медвежья услуга,медвежий\W+услуга
море по колено,море\W+по\W+колено
мотать себе на ус,мотать\W+себя\W+на\W+ус
мурашки бегают по спине,мурашки\W+бегать\W+по\W+спина
набить руку,набивать\W+рука
набрать в рот воды,набирать\W+в\W+рот\W+вода
навострить уши,навострить\W+ухо
надуть губы,надувать\W+губа
на лбу написано,на\W+лоб\W+написать
намылить шею,намыливать\W+шея
нанести удар из-за угла,наносить\W+удар\W+изза\W+угол
напустить туману,напускать\W+туман
наступать на пятки,наступать\W+на\W+пятка
не видать как своих ушей,не\W+видать\W+как\W+свой\W+ухо
не видеть дальше своего носа,не\W+видеть\W+далеко\W+свой\W+нос
не выходит из головы,не\W+выходить\W+из\W+голова
не ударить в грязь лицом,не\W+ударять\W+в\W+грязь\W+лицо
нечист на руку,нечистый\W+на\W+рука
не чуять ног под собой,не\W+чуять\W+нога\W+под\W+себя
носа не высунуть,нос\W+не\W+высовывать
носить воду решетом,носить\W+вода\W+решето
обвести вокруг пальца,обвести\W+вокруг\W+палец
"одна нога здесь, другая там",один\W+нога\W+здесь\W+другой\W+там
окунуться с головой,окунаться\W+с\W+голова
опустить руки,опускать\W+рука
оставить с носом,оставлять\W+с\W+нос
открывать глаза на ,открывать\W+глаз\W+на
палец о палец не ударить,палец\W+о\W+палец\W+не\W+ударять
пальца в рот не клади,палец\W+в\W+рот\W+не\W+класть
пальцем никого не тронуть,палец\W+никто\W+не\W+тронуть
переливать из пустого в порожнее,переливать\W+из\W+пустой\W+в\W+порожний
подвернуться под руку,подвертываться\W+под\W+рука
под горячую руку,под\W+горячий\W+рука
под носом,под\W+нос
поднять всех на ноги,подымать\W+все\W+на\W+нога
подписываться под чем-либо обеими руками,подписываться\W+под\W+чтолибо\W+оба\W+рука
показать пятки,показывать\W+пятка
показывать товар лицом,показывать\W+товар\W+лицо
положа руку на сердце,положе\W+рука\W+на\W+сердце
положить на обе лопатки,полагать\W+на\W+оба\W+лопатка
попадаться на язык,попадаться\W+на\W+язык
по пальцам можно сосчитать,по\W+палец\W+можно\W+сосчитывать
попасть на зубок,попадать\W+на\W+зубок
"попасть не в бровь, а в глаз",попадать\W+не\W+в\W+бровь\W+а\W+в\W+глаз
попасть пальцем в небо,попадать\W+палец\W+в\W+небо
прибирать к рукам,прибирать\W+к\W+рука
приложить руку к чему-либо,прикладывать\W+рука\W+к\W+чтолибо
притянуть за уши,притягивать\W+за\W+ухо
проглотить язык,проглатывать\W+язык
прожужжать все уши,прожужжать\W+весь\W+ухо
пропускать мимо ушей,пропускать\W+мимо\W+ухо
пускать козла в огород,пускать\W+козел\W+в\W+огород
пускать пыль в глаза,пускать\W+пыль\W+в\W+глаз
работать засучив рукава,работать\W+засучивать\W+рукав
работать не покладая рук,работать\W+не\W+покладать\W+рука
развесить уши,развешивать\W+ухо
развязать руки,развязывать\W+рука
развязать язык,развязывать\W+язык
рвать на себе волосы,рвать\W+на\W+себя\W+волос
рука не дрогнет,рука\W+не\W+дрогнуть
рука не поднимается,рука\W+не\W+подниматься
руки коротки,рука\W+короткий
руки не доходят,рука\W+не\W+доходить
руки чешутся,рука\W+чесаться
рукой не достанешь,рука\W+не\W+доставать
садиться на шею,садиться\W+на\W+шея
сами с усами,сам\W+с\W+ус
светлая голова,светлый\W+голова
связать по рукам и ногам,связывать\W+по\W+рука\W+и\W+нога
сидеть сложа руки,сидеть\W+сложе\W+рука
скользить по поверхности,скользить\W+по\W+поверхность
с легкой руки,с\W+легкий\W+рука
смотреть в рот,смотреть\W+в\W+рот
смотреть другими глазами,смотреть\W+другой\W+глаз
смотреть как баран на новые ворота,смотреть\W+как\W+баран\W+на\W+новый\W+ворота
смотреть сквозь пальцы,смотреть\W+сквозь\W+палец
совать нос во что-либо,совать\W+нос\W+во\W+чтолибо
сон в руку,сон\W+в\W+рука
спать без задних ног,спать\W+без\W+задний\W+нога
с плеч долой,с\W+плечо\W+долой
ставить на ноги,ставить\W+на\W+нога
ставить с ног на голову,ставить\W+с\W+нога\W+на\W+голова
стоять поперек горла,стоять\W+поперек\W+горло
сыт по горло,сытый\W+по\W+горло
тащить за уши,тащить\W+за\W+ухо
терять голову,терять\W+голова
терять почву под ногами,терять\W+почва\W+под\W+нога
тянуть за язык,тянуть\W+за\W+язык
ударить как обухом по голове,ударять\W+как\W+обух\W+по\W+голова
ударить по рукам,ударять\W+по\W+рука
узнать из первых рук,узнавать\W+из\W+первый\W+рука
уйти в кусты,уходить\W+в\W+куст
уйти в себя,уходить\W+в\W+себя
уйти с головой во что-либо,уходить\W+с\W+голова\W+во\W+чтолибо
умывать руки,умывать\W+рука
уносить ноги,уносить\W+нога
устраивать сцену,устраивать\W+сцена
утереть нос,утирать\W+нос
ухо режет,ухо\W+резать
уши вянут,ухо\W+вянуть
хвататься за голову,хвататься\W+за\W+голова
ходить на голове,ходить\W+на\W+голова
хромать на обе ноги,хромать\W+на\W+оба\W+нога
через чью-либо голову,через\W+чейлибо\W+голова
чесать язык,чесать\W+язык
чужими руками жар загребать,чужой\W+рука\W+жар\W+загребать
язык сломаешь,язык\W+сломать
язык хорошо подвешен,язык\W+хорошо\W+подвешивать
ломать голову над чем либо,ломать\W+голова\W+над\W+чем\W+либо
аредовы веки,аредов\W+веко
без задних ног (спать),без\W+задний\W+нога\W+спать
"без сучка, без задоринки",без\W+сучка\W+без\W+задоринка
без царя в голове,без\W+царь\W+в\W+голова
бельмо на глазу,бельмо\W+на\W+глаз
блюдечко с голубой каёмочкой,блюдечко\W+с\W+голубой\W+каемочка
бровью не повёл,бровь\W+не\W+поводить
в зените (успеха/славы),в\W+зенит\W+успех\W+слава
в ногах правды нет,в\W+нога\W+правда\W+нет
в поте лица (работать),в\W+пот\W+лицо\W+работать
вбить в голову,вбивать\W+в\W+голова
вертеться на языке,вертеться\W+на\W+язык
всё наоборот,все\W+наоборот
встать не с той ноги,вставать\W+не\W+с\W+тот\W+нога
выбить почву из-под ног,выбивать\W+почва\W+изпод\W+нога
выворачивать кому-л руки,выворачивать\W+кто\W+л\W+рука
выпустить кишки,выпускать\W+кишка
высосанный из пальца,высасывать\W+из\W+палец
глаза на лоб полезли,глаз\W+на\W+лоб\W+полезть
глаза на мокром месте,глаз\W+на\W+мокрый\W+место
глаза слипаются,глаз\W+слипаться
глазом не моргнуть,глаз\W+не\W+моргнуть
глас вопиющего в пустыне,глас\W+вопиющий\W+в\W+пустыня
глухой как тетерев,глухой\W+как\W+тетерев
говорить на разных языках,говорить\W+на\W+разный\W+язык
голова идёт кругом,голова\W+идти\W+кругом
гора с плеч,гора\W+с\W+плечо
"дела давно минувших дней, преданья старины глубокой",дело\W+давно\W+минувший\W+день\W+предание\W+старина\W+глубокий
держать в ежовых рукавицах,держать\W+в\W+ежовый\W+рукавица
держать на коротком поводке,держать\W+на\W+короткий\W+поводок
держать руку на пульсе,держать\W+рука\W+на\W+пульс
длинный язык (слишком),длинный\W+язык\W+слишком
душой и телом,душа\W+и\W+тело
ежовые рукавицы,ежовый\W+рукавица
еле-еле душа в теле,елееле\W+душа\W+в\W+тело
задать жару,задавать\W+жара
задняя мысль,задний\W+мысль
задушевный разговор,задушевный\W+разговор
закрывать глаза на что-либо,закрывать\W+глаз\W+на\W+чтолибо
закусить удила,закусывать\W+удила
зарубить (себе) на носу,зарубать\W+себя\W+на\W+нос
засучить рукава,засучивать\W+рукав
знать назубок,знать\W+назубок
и ухом не повел,и\W+ухо\W+не\W+поводить
игра в одни ворота,игра\W+в\W+один\W+ворота
идти по головам,идти\W+по\W+голова
из кожи вон лезть,из\W+кожа\W+вон\W+лезть
из первых рук,из\W+первый\W+рука
из пустого в порожнее (переливать),из\W+пустой\W+в\W+порожний\W+переливать
из уст в уста,из\W+уста\W+в\W+уста
иметь успех,иметь\W+успех
имеющий уши да слышит,иметь\W+ухо\W+да\W+слышать
испустить дух,испускать\W+дух
как бельмо на глазу,как\W+бельмо\W+на\W+глаз
как два пальца об асфальт,как\W+два\W+палец\W+об\W+асфальт
как угорелый (носиться/бегать),как\W+угорелый\W+носиться\W+бегать
кануть в вечность,кануть\W+в\W+вечность
каша в голове,каша\W+в\W+голова
кидаться из крайности в крайность,кидаться\W+из\W+крайность\W+в\W+крайность
краем глаза,край\W+глаз
краем уха услышать,край\W+ухо\W+услышать
крепок задним умом,крепкий\W+задний\W+ум
куда глаза глядят,куда\W+глаз\W+глядеть
кусать локти,кусать\W+локоть
лакомый кусочек,лакомый\W+кусочек
лица нет,лицо\W+нет
ломать голову,ломать\W+голова
мёртвого осла уши,мертвый\W+осел\W+ухо
мозолить глаза,мозолить\W+глаз
мороз по коже,мороз\W+по\W+кожа
мурашки по коже,мурашки\W+по\W+кожа
на волне успеха,на\W+волна\W+успех
на пушечный выстрел не подходить / на пушечный выстрел не пускать,на\W+пушечный\W+выстрел\W+не\W+подходить\W+на\W+пушечный\W+выстрел\W+не\W+пускать
навёрстывать упущенное,наверстывать\W+упускать
надувать губы,надувать\W+губа
найти общий язык,находить\W+общий\W+язык
намотать себе на ус,наматывать\W+себя\W+на\W+ус
напрашиваться на неприятности,напрашиваться\W+на\W+неприятность
наступить себе на горло,наступать\W+себя\W+на\W+горло
"не в бровь, а в глаз",не\W+в\W+бровь\W+а\W+в\W+глаз
не верить своим глазам,не\W+верить\W+свой\W+глаз
не видеть дальше собственного носа,не\W+видеть\W+далеко\W+собственный\W+нос
не покладая рук / работать не покладая рук / не покладая рук работать,не\W+покладать\W+рука\W+работать\W+не\W+покладать\W+рука\W+не\W+покладать\W+рука\W+работать
не успеешь глазом моргнуть,не\W+успевать\W+глаз\W+моргнуть
не успеешь оглянуться,не\W+успевать\W+оглянуться
невооружённым глазом,невооруженный\W+глаз
"ни в зуб ногой / ни в зуб ногой, ни в нос ботинком",ни\W+в\W+зуб\W+нога\W+ни\W+в\W+зуб\W+нога\W+ни\W+в\W+нос\W+ботинок
ни в какие ворота / не лезет ни в какие ворота / ни в какие ворота не лезет,ни\W+в\W+какой\W+ворота\W+не\W+лезть\W+ни\W+в\W+какой\W+ворота\W+ни\W+в\W+какой\W+ворота\W+не\W+лезть
ни в одном глазу,ни\W+в\W+один\W+глаз
ни рожи ни кожи,ни\W+рожа\W+ни\W+кожа
ни уха ни рыла не смыслить,ни\W+ухо\W+ни\W+рыло\W+не\W+смыслить
носиться как с писаной торбой,носиться\W+как\W+с\W+писаный\W+торба
обреченный на успех,обреченный\W+на\W+успех
опускать руки,опускать\W+рука
остаться с носом,оставаться\W+с\W+нос
отбиться от рук,отбиваться\W+от\W+рука
открыть кому-л глаза на что-л,открывать\W+кто\W+л\W+глаз\W+на\W+что\W+л
очертя голову,очертя\W+голова
пальцем в небо,палец\W+в\W+небо
пальцем не пошевелить,палец\W+не\W+пошевелить
першить в горле,першить\W+в\W+горло
плоская острота,плоский\W+острота
по уши,по\W+ухо
подносить хлеб-соль,подносить\W+хлебсоль
поезд ушел,поезд\W+уходить
положение хуже губернаторского,положение\W+плохой\W+губернаторский
положить глаз,полагать\W+глаз
получить по шее,получать\W+по\W+шея
понимать с полуслова,понимать\W+с\W+полуслово
попахивать неприятностями,попахивать\W+неприятность
посыпать голову пеплом,посыпать\W+голова\W+пепел
пригреть змею на груди (за пазухой),пригревать\W+змея\W+на\W+грудь\W+за\W+пазуха
принять (на грудь) с утра пораньше,принимать\W+на\W+грудь\W+с\W+утро\W+рано
притянутый за уши,притягивать\W+за\W+ухо
прокрустово ложе,прокрустов\W+ложе
протянуть ноги,протягивать\W+нога
протянуть руку помощи,протягивать\W+рука\W+помощь
прятать голову в песок,прятать\W+голова\W+в\W+песок
пуля в голове,пуля\W+в\W+голова
пустить козла в огород,пускать\W+козел\W+в\W+огород
пуститься во все тяжкие,пускаться\W+во\W+весь\W+тяжкий
путь наименьшего сопротивления,путь\W+маленький\W+сопротивление
работать на износ,работать\W+на\W+износ
развязать кому-л руки,развязывать\W+кто\W+л\W+рука
рань несусветная,рань\W+несусветный
распустить хвост,распускать\W+хвост
рвать волосы на голове,рвать\W+волос\W+на\W+голова
резать ухо,резать\W+ухо
решетом воду носить,решето\W+вода\W+носить
руки в брюки,рука\W+в\W+брюки
рукой подать,рука\W+подавать
руку/голову даю на отсечение,рука\W+голова\W+давать\W+на\W+отсечение
с бородой (анекдот/шутка),с\W+борода\W+анекдот\W+шутка
с гулькин нос,с\W+гулькин\W+нос
с пеной у рта,с\W+пена\W+у\W+рот
с протянутой рукой,с\W+протягивать\W+рука
с пустыми руками,с\W+пустой\W+рука
сбиться с ног,сбиваться\W+с\W+нога
сделать кого-л орудием в своих руках,сделать\W+кто\W+л\W+орудие\W+в\W+свой\W+рука
семь пядей во лбу,семь\W+пядь\W+во\W+лоб
сидеть на шее,сидеть\W+на\W+шея
сирота казанская,сирота\W+казанский
словесный понос,словесный\W+понос
сломя голову,сломя\W+голова
смотреть правде в глаза,смотреть\W+правда\W+в\W+глаз
сносить крышу,сносить\W+крыша
со всех ног,со\W+весь\W+нога
сойти с проторенного пути,сходить\W+с\W+проторять\W+путь
сор из избы выносить,сор\W+из\W+изба\W+выносить
сорока на хвосте принесла,сорока\W+на\W+хвост\W+приносить
спуститься на землю,спускаться\W+на\W+земля
спустя рукава,спустя\W+рукав
стать поперек горла,становиться\W+поперек\W+горло
строить глазки,строить\W+глазок
сходить с рук,сходить\W+с\W+рука
тараканы в голове,таракан\W+в\W+голова
тарелочка с голубой каемочкой,тарелочка\W+с\W+голубой\W+каемочка
твёрдо стоять на ногах,твердо\W+стоять\W+на\W+нога
типун (кому-либо) на язык,типун\W+ктолибо\W+на\W+язык
ткнуть носом в,ткнуть\W+нос\W+в
трепать языком,трепать\W+язык
тугой на ухо,тугой\W+на\W+ухо
туз в рукаве,туз\W+в\W+рукав
ударить в грязь лицом,ударять\W+в\W+грязь\W+лицо
уйти по-английски,уходить\W+поанглийски
устроить сцену,устраивать\W+сцена
усыплять бдительность,усыплять\W+бдительность
уши развесить,ухо\W+развешивать
ушки на макушке,ушко\W+на\W+макушка
хватит ковырять в носу,хватить\W+ковырять\W+в\W+нос
ходить на задних лапах/лапках,ходить\W+на\W+задний\W+лапа\W+лапка
хоть кол на голове теши,хоть\W+кол\W+на\W+голова\W+тесать
чёрт ногу сломит,черт\W+нога\W+сламывать
чтоб тебе пусто было,чтоб\W+ты\W+пусто\W+быть
чувство локтя,чувство\W+локоть
шиворот-навыворот,шиворотнавыворот
эзопов язык,эзопов\W+язык
"язык сломать можно, язык сломаешь",язык\W+сломать\W+можно\W+язык\W+сломать
